RBD	NOMBRE	COMUNA
8764	LICEO ALEMAN DE SANTIAGO	RECOLETA
8765	COLEGIO JUAN BOSCO	SANTIAGO
8768	LICEO JOSE MIGUEL CARRERA	SANTIAGO
8769	COLEGIO SANTA MARIA CERVELLON	INDEPENDENCIA
8771	COLEGIO CAMBRIDGE	SANTIAGO
8775	COLEGIO LUIS ENRIQUE IZQUIERDO	SANTIAGO
8780	ESCUELA MANUEL MONTT	SANTIAGO
8781	ESCUELA BASICA PARTICULAR STA BERNARDITA	SANTIAGO
8787	COLEGIO IGNACIO SERRANO	SANTIAGO
8791	COLEGIO FILIPENSE	SANTIAGO
8793	ESCUELA BASICA N°823 SPENDIX	ÑUÑOA
8797	ESCUELA BASICA ALBERT SCHWEITZER	ESTACIÓN CENTRAL
8800	ESCUELA PART MARY AND GEORGE S SCHOOL	RECOLETA
8807	ESCUELA DE PARVULOS PELUSIN	SANTIAGO
8809	ESCUELA DE PARVULOS N°1146 HEYDDIE	SANTIAGO
8811	LICEO PROFESIONAL ABDON CIFUENTES	SANTIAGO
8812	LICEO INDUSTRIAL DE LA CONSTRUCCION VICTOR BEZANILLA SALINAS	SANTIAGO
8813	LICEO BICENTENARIO TÉCNICO PROFESIONAL IGNACIO DOMEYKO	RECOLETA
8814	LICEO INDUSTRIAL A-22 DE SANTIAGO	SANTIAGO
8815	COLEGIO SAN FRANCISCO DEL ALBA	LAS CONDES
8818	LICEO ALEXANDER FLEMING DE LAS CONDES	LAS CONDES
8819	LICEO RAFAEL SOTOMAYOR	LAS CONDES
8821	LICEO MUNICIPALIZADO AMANDA LABARCA	VITACURA
8822	LICEO JUAN PABLO II DE LAS CONDES	LAS CONDES
8823	LICEO ESTADOS AMERICANOS	LO BARNECHEA
8824	ESCUELA BASICA GENERAL DIEGO ARACENA A.	LO BARNECHEA
8825	COLEGIO ANTARTICA CHILENA	VITACURA
8827	COLEGIO NTRA. SRA. DEL ROSARIO LAS CONDES	LAS CONDES
8828	LICEO BICENTENARIO SIMON BOLIVAR	LAS CONDES
8832	ESC. DE EDUC. DIFERENCIAL PAUL HARRIS	LAS CONDES
8833	LICEO BICENTENARIO DE EXCELENCIA MARIA LUISA BOMBAL	VITACURA
8835	LICEO BICENTENARIO SANTA MARIA DE LAS CONDES	LAS CONDES
8837	ESCUELA DIFERENCIAL F N°254 MADRE TIERRA LO BARNECHEA	LO BARNECHEA
8839	INSTITUTO FERMIN VIVACETA	LO BARNECHEA
8840	ESCUELA DE FARELLONES	LO BARNECHEA
8841	"COLEGIO PARROQ	STA ROSA DE LO BARNECHEA"	LO BARNECHEA
8842	COLEGIO LA DEHESA	LO BARNECHEA
8843	ESCUELA PARTICULAR HOGAR ESPANOL	LAS CONDES
8845	COLEGIO SAN JUAN DE KRONSTADT	LO BARNECHEA
8846	COLEGIO INMACULADA CONCEPCION	VITACURA
8849	COLEGIO LA VIRGEN DE POMPEYA	LAS CONDES
8852	COLEGIO SAN PATRICIO	LAS CONDES
8854	INSTITUTO PRESIDENTE ERRAZURIZ	LAS CONDES
8860	COLEGIO ANGLO AMERICAN INTERNATIONAL SCHOOL	LO BARNECHEA
8861	COLEGIO JOHN ANDREWS ADVENTIST ACADEMY	LAS CONDES
8862	COLEGIO TABANCURA	VITACURA
8863	COLEGIO SCUOLA ITALIANA VITTORIO MONTIGLIO	LAS CONDES
8866	COLEGIO LO CASTILLO	LAS CONDES
8867	COLEGIO SAN FRANCISCO DE ASIS	LAS CONDES
8868	COLEGIO LA GIROUETTE	LAS CONDES
8869	COLEGIO THE NEWLAND SCHOOL	LO BARNECHEA
8870	COLEGIO COMPANIA DE MARIA APOQUINDO	LAS CONDES
8871	COLEGIO LOS ANDES DE VITACURA	VITACURA
8872	COLEGIO WENLOCK SCHOOL	LAS CONDES
8873	COLEGIO VILLA MARIA ACADEMY	LAS CONDES
8876	COLEGIO MANANTIALES	PROVIDENCIA
8877	COLEGIO DE LOS SAGRADOS CORAZONES	VITACURA
8878	COLEGIO DEL SAGRADO CORAZON DE APOQUINDO	LAS CONDES
8880	COLEGIO NIDO DE AGUILAS	LO BARNECHEA
8881	COLEGIO APOQUINDO HOMBRES	LO BARNECHEA
8883	COLEGIO CONCORDIA	LAS CONDES
8885	COLEGIO REDLAND SCHOOL	LAS CONDES
8888	COLEGIO DEL VERBO DIVINO	LAS CONDES
8889	COLEGIO APOQUINDO FEMENINO	LO BARNECHEA
8892	COLEGIO SAN JUAN EVANGELISTA	LAS CONDES
8893	COLEGIO INTERNACIONAL SEK CHILE	LAS CONDES
8894	COLEGIO LA MAISONNETTE	VITACURA
8895	COLEGIO DALCAHUE	LAS CONDES
8899	COLEGIO NUESTRA SENORA DEL PILAR	LAS CONDES
8900	COLEGIO SEMINARIO PONTIFICIO MENOR	LAS CONDES
8902	COLEGIO CORDILLERA DE LAS CONDES	LAS CONDES
8903	COLEGIO LINCOLN INTERNATIONAL ACADEMY	LO BARNECHEA
8904	COLEGIO SANTA URSULA	VITACURA
8905	COLEGIO EL CARMEN TERESIANO I	VITACURA
8906	COLEGIO SAINT GEORGE S COLLEGE	VITACURA
8909	COLEGIO BRADFORD SCHOOL	VITACURA
8911	COLEGIO ARABE	LAS CONDES
8912	ESCUELA DE PARVULOS N°1138 MY MELODY KINDERGARTEN SCHOOL	LAS CONDES
8914	COLEGIO WILLIAM KILPATRICK	LAS CONDES
8917	COLEGIO CRAIGHOUSE	LO BARNECHEA
8919	COLEGIO SAN PEDRO NOLASCO	VITACURA
8921	COLEGIO BRITISH HIGH	LAS CONDES
8923	LYCÉE ANTOINE DE SAINT-EXUPÉRY	VITACURA
8925	LICEO POLIVALENTE ARTURO ALESSANDRI P.	PROVIDENCIA
8926	LICEO Nº7 DE PROVIDENCIA LUISA SAAVEDRA	PROVIDENCIA
8927	LICEO CARMELA CARVAJAL DE PRAT	PROVIDENCIA
8928	LICEO JOSE VICTORINO LASTARRIA	PROVIDENCIA
8930	LICEO B 42 TAJAMAR	PROVIDENCIA
8931	ESCUELA BASICA EL VERGEL	PROVIDENCIA
8933	ESCUELA DE PROVIDENCIA	PROVIDENCIA
8934	ESCUELA ABELARDO ITURRIAGA JAMETT	PROVIDENCIA
8936	ESCUELA BASICA Y ESPECIAL MC-KAY	CURACAVÍ
8938	COLEGIO POLIV. PROF. GUILLERMO GONZALEZ HEIN	PROVIDENCIA
8942	ESCUELA PARTICULAR TERESIANA DE SAN JOSE	SAN BERNARDO
8943	ESCUELA PARTICULAR ELVIRA ERRAZURIZ	ÑUÑOA
8944	COLEGIO PARTICULAR REGINA PACIS	PROVIDENCIA
8945	ESCUELA Y LICEO PAULINA VON MALLINCKRODT	PROVIDENCIA
8949	COLEGIO LAS AMERICAS	LA REINA
8950	COLEGIO COMPANIA DE MARIA-SEMINARIO	PROVIDENCIA
8953	COLEGIO HUELEN	VITACURA
8954	COLEGIO MARIA INMACULADA	PROVIDENCIA
8955	COLEGIO SAINT GABRIEL´S SCHOOL ANEXO	PROVIDENCIA
8956	COLEGIO LATINOAMERICANO DE INTEGRACION	PROVIDENCIA
8957	ESCUELA BASICA N°280 ASOCIACION MONTESSORI	ÑUÑOA
8959	COLEGIO SUPERIOR CAMBRIDGE	PROVIDENCIA
8966	COLEGIO SAINT GABRIEL´S SCHOOL LOCAL SEDE	PROVIDENCIA
8967	ESCUELA DE PARVULOS N°1198 HOUSE GARDEN	PROVIDENCIA
8969	COLEGIO THE ANGEL´S SCHOOL	ÑUÑOA
8970	COLEGIO SAINT GABRIEL´S SCHOOL ANEXO	PROVIDENCIA
8972	COLEGIO SAN BENITO	VITACURA
8974	COLEGIO CAMPVS COLLEGE	PROVIDENCIA
8978	COLEGIO DUNALASTAIR	LAS CONDES
8979	COLEGIO ALEMAN DE SANTIAGO	LAS CONDES
8981	COLEGIO DE LOS SAGRADOS CORAZONES PROVIDENCIA	PROVIDENCIA
8983	COLEGIO JOHN JOHN	PROVIDENCIA
8984	COLEGIO TREWHELA´S ENGLISH SCHOOL	PROVIDENCIA
8986	COLEGIO SAINT GABRIEL´S SCHOOL ANEXO	PROVIDENCIA
8987	ESCUELA DE PARVULOS N°730 JARDIN INFANTIL MAMPATO	PROVIDENCIA
8988	COLEGIO MARIANO	PROVIDENCIA
8991	COLEGIO PADRE HURTADO Y JUANITA DE LOS ANDES	LAS CONDES
8992	COLEGIO ALEMAN SANKT THOMAS MORUS	PROVIDENCIA
8995	COLEGIO SANTIAGO COLLEGE	LO BARNECHEA
8996	COLEGIO SAN IGNACIO EL BOSQUE	PROVIDENCIA
8997	WEXFORD COLLEGE N 2	PROVIDENCIA
8998	COLEGIO CAMBRIDGE COLLEGE	PROVIDENCIA
9003	COLEGIO THE ENGLISH INSTITUTE	PROVIDENCIA
9004	COLEGIO UNIVERSITARIO INGLES	PROVIDENCIA
9006	COMPLEJO EDUCACIONAL LA REINA	LA REINA
9007	LICEO EUGENIO MARÍA DE HOSTOS	LA REINA
9008	COLEGIO MUNICIPALIZADO CONFEDERAC SUIZA	LA REINA
9010	ESCUELA D-231 ESPECIAL DE DESARROLLO	LA REINA
9011	COLEGIO SAN CONSTANTINO	LA REINA
9012	ESCUELA BASICA YANGTSE EX E-229	LA REINA
9013	ESCUELA PALESTINA	LA REINA
9017	ESCUELA PARTICULAR SAN LEONARDO MURIALDO	LA REINA
9020	COLEGIO SANTA CATALINA LABOURÉ	LA REINA
9025	ESCUELA HERMANAS DEL NINO JESUS	LA REINA
9026	ESCUELA ESPECIAL CTI.LOS COPIHUES   N.3	SAN JOAQUÍN
9029	COLEGIO PARTICULAR INFANTES DE LA REINA	LA REINA
9032	ESCUELA PARTICULAR ANTINIL	LA REINA
9033	COLEGIO STA MARIA REINA	LA REINA
9035	COLEGIO EL CARMEN TERESIANO	LA REINA
9036	COLEGIO JOSÉ ARRIETA	LA REINA
9038	COLEGIO SAN LUIS DE LAS CONDES	LAS CONDES
9039	COLEGIO RUBEN DARIO	LA REINA
9041	ESCUELA BASICA SANTA LAURA	LA REINA
9042	COLEGIO DE LA SALLE	LA REINA
